Variant,cat,t,f_mean,f_sem,f_n
WT,nonexpressing,97,0.3073774179037337,0.027904709434905906,3
allW D262V,nonexpressing,98,0.26030701754385965,0.059667260529292665,3
D262V,nonexpressing,98,0.3416666666666667,0.05068968775248518,3
WT,nonexpressing,98,0.3031039136302294,0.024009079517072738,3
allW D262V,nonexpressing,99,0.2515350877192982,0.05185325450806217,3
D262V,nonexpressing,99,0.32083333333333336,0.05833333333333332,3
WT,nonexpressing,99,0.2945569050832209,0.01677912730544308,3
allW D262V,nonexpressing,100,0.24714912280701753,0.04807035551893534,3
D262V,nonexpressing,100,0.3,0.050518148554092285,3
WT,nonexpressing,100,0.28611673414304994,0.012874568635430569,3
allW D262V,nonexpressing,101,0.2342105263157895,0.04476263446376518,3
D262V,nonexpressing,101,0.29166666666666663,0.04639803635691686,3
WT,nonexpressing,101,0.28173076923076923,0.016902303683891298,3
allW D262V,nonexpressing,102,0.22565789473684214,0.040695633425107534,3
D262V,nonexpressing,102,0.2791666666666667,0.048052344144461655,3
WT,nonexpressing,102,0.27295883940620785,0.02531747822436458,3
allW D262V,nonexpressing,103,0.21710526315789472,0.03667726280201671,3
D262V,nonexpressing,103,0.275,0.04506939094329988,3
WT,nonexpressing,103,0.27295883940620785,0.02531747822436458,3
allW D262V,nonexpressing,104,0.21710526315789472,0.03667726280201671,3
D262V,nonexpressing,104,0.26666666666666666,0.04350127712046064,3
WT,nonexpressing,104,0.27295883940620785,0.02531747822436458,3
allW D262V,nonexpressing,105,0.21293859649122804,0.04052391862736384,3
D262V,nonexpressing,105,0.2625,0.04330127018922194,3
WT,nonexpressing,105,0.26868533513270354,0.022600971599968007,3
allW D262V,nonexpressing,106,0.21293859649122804,0.04052391862736384,3
D262V,nonexpressing,106,0.25,0.04330127018922191,3
WT,nonexpressing,106,0.26868533513270354,0.022600971599968007,3
allW D262V,nonexpressing,107,0.1960526315789474,0.04426186190396773,3
D262V,nonexpressing,107,0.24583333333333335,0.03974746672570606,3
WT,nonexpressing,107,0.2644118308591993,0.02042446592778538,3
allW D262V,nonexpressing,108,0.1960526315789474,0.04426186190396773,3
D262V,nonexpressing,108,0.23333333333333336,0.03632415786283895,3
WT,nonexpressing,108,0.26024516419253263,0.018393455759944645,3
allW D262V,nonexpressing,109,0.19188596491228072,0.04368000490570754,3
D262V,nonexpressing,109,0.22916666666666666,0.032542706982944376,3
WT,nonexpressing,109,0.26024516419253263,0.018393455759944645,3
allW D262V,nonexpressing,110,0.18771929824561404,0.04749819779186277,3
D262V,nonexpressing,110,0.22916666666666666,0.032542706982944376,3
WT,nonexpressing,110,0.2558591992802519,0.022757657237605686,3
allW D262V,nonexpressing,111,0.18771929824561404,0.04749819779186277,3
D262V,nonexpressing,111,0.22083333333333333,0.03410563654946853,3
WT,nonexpressing,111,0.2514732343679712,0.02712887921605253,3
allW D262V,nonexpressing,112,0.18333333333333332,0.04409585518440985,3
D262V,nonexpressing,112,0.21250000000000002,0.037499999999999985,3
WT,nonexpressing,112,0.2514732343679712,0.02712887921605253,3
allW D262V,nonexpressing,113,0.17500000000000002,0.04732423621500227,3
D262V,nonexpressing,113,0.19999999999999998,0.03145764348029478,3
WT,nonexpressing,113,0.24292622582096265,0.02340249148534641,3
allW D262V,nonexpressing,114,0.1625,0.05448623679425842,3
D262V,nonexpressing,114,0.1875,0.03145764348029479,3
WT,nonexpressing,114,0.23010008996851103,0.023585224813805896,3
allW D262V,nonexpressing,115,0.15394736842105264,0.05495423261554839,3
D262V,nonexpressing,115,0.18333333333333332,0.034105636549468556,3
WT,nonexpressing,115,0.22155308142150246,0.022671965063124605,3
allW D262V,nonexpressing,116,0.13267543859649122,0.05069395693698816,3
D262V,nonexpressing,116,0.18333333333333332,0.034105636549468556,3
WT,nonexpressing,116,0.2130060728744939,0.024857109251371017,3
allW D262V,nonexpressing,117,0.13267543859649122,0.05069395693698816,3
D262V,nonexpressing,117,0.17083333333333336,0.034105636549468556,3
WT,nonexpressing,117,0.2130060728744939,0.024857109251371017,3
allW D262V,nonexpressing,118,0.11118421052631577,0.03916730515579453,3
D262V,nonexpressing,118,0.1625,0.033071891388307365,3
WT,nonexpressing,118,0.2130060728744939,0.024857109251371017,3
